#begin;;;;;;;;;;;;
#Public Id;Name;Location;Source url;Url;Thumb url;Added date;Time zone;Http referer;Resize;Visibility begin;Visibility end;Coordinates
0;La Tour Eiffel;Paris, France;www.parisrama.com;www.parisrama.com/webcam9.jpg;lubek.b.free.fr/thumb_0.png;2009-03-21;Europe/Paris;-;-;7:00;23:59;48.858179,2.29508
3;The Earth (America);The Earth;www.fourmilab.ch/cgi-bin/Earth;rps.jraf.org/is/resize/www.fourmilab.ch/cgi-bin/Earth?di=752E4392361AD817BC4A37D621AB4BFCC72E3E1C66584073B872C333E997ABCBCEAD28446A2849C6F0AEC02E78C34650DCC58FC272DBE64EDFCC39A87FDF8561&__width=768&__height=576&__composite=true;lubek.b.free.fr/thumb_3.png;2009-03-23;America/Panama;-;-;-;-;-
4;The Earth (Europe);The Earth;www.fourmilab.ch/cgi-bin/Earth;rps.jraf.org/is/resize/www.fourmilab.ch/cgi-bin/Earth?di=154E23F2567AB877DC2A57B641CB2B9CA74E5E7C06382013D812A35389F7CBABAECD48240A4829A690CEA04E18A32630A9B37934842D10B8293ACF5E892973A2&__width=768&__height=576&__composite=true;lubek.b.free.fr/thumb_4.png;2009-03-23;Europe/London;-;-;-;-;-
7;Statue of Liberty;New York City, NY, USA;earthcam.com;images.earthcam.com/ec_metros/ourcams/liberty.jpg;lubek.b.free.fr/thumb_7.png;2009-03-21;America/New_York;-;-;-;-;40.690177,-74.0457
1;Lake Arrowhead;San Bernardino, CA, USA;www.golakearrowhead.com;www.golakearrowhead.com/index.php?url=webcams/view;lubek.b.free.fr/thumb_1.png;2009-03-21;America/Los_Angeles;-;-;-;-;34.25629,-117.191326
8;Space Needle;Seattle, WA, USA;ibsys.com;images.ibsys.com/sea/images/weather/auto/queenannecam_640x480.jpg;lubek.b.free.fr/thumb_8.png;2009-03-21;US/Pacific;-;-;-;-;47.620549,-122.34905
5;Basilica di S.Pietro;Vatican;www.vaticanstate.va;www.vaticanstate.va/images/webcam/bracciocarlo.jpg;lubek.b.free.fr/thumb_5.png;2009-03-21;Europe/Vatican;-;-;-;-;41.902161,12.454121
17;Cupola di S.Pietro;Vatican;www.vaticanstate.va;www.vaticanstate.va/images/webcam/radiovaticana.jpg;lubek.b.free.fr/thumb_17.png;2009-04-05;Europe/Vatican;-;-;-;-;41.902161,12.454121
10;Penguins in Antarctica;Antarctica;www.martingrund.de/pinguine;antarctica.martingrund.de/ohig-pingi-z.jpg;lubek.b.free.fr/thumb_10.png;2009-03-23;America/Santo_Domingo;-;-;-;-;-63.550234,-58.944397
44;Moody Gardens Penguins;Galveston, TX, USA;www.moodygardens.com;webcams.galveston.com/docs/penguins/penguinsmp.jpg;lubek.b.free.fr/thumb_44.png;2009-09-13;America/Chicago;-;-;-;-;29.274065,-94.851172
12;Moscow;Moscow, Russia;earthcam.com;images.earthcam.com/ec_metros/ourcams/moscow.jpg;lubek.b.free.fr/thumb_12.png;2009-04-05;Europe/Moscow;-;-;-;-;55.755448,37.618046
